source,target,edge_type,source_schema_edge_type,weight,structural_connectivity,containment_connectivity,cooccurrence_connectivity
form_group_outpatient_high_complexity_procedures_25691782,form_subgroup_hcpa_43250244,canonical_containment,containment,0.85,0.85,1.0,0.0
form_subgroup_hcpa_43250244,form_subgroup_components_43357104,canonical_containment,containment,0.85,0.85,1.0,0.0
form_subgroup_components_43357104,form_subgroup_general_data_51831167,canonical_containment,containment,0.85,0.85,1.0,0.0
form_subgroup_general_data_51831167,form_element_issue_date_21466521,canonical_containment,containment,0.85,0.85,1.0,0.0
form_subgroup_general_data_51831167,form_element_reason_for_encounter_25182865,canonical_containment,containment,0.85,0.85,1.0,0.0
form_subgroup_general_data_51831167,form_element_healthcare_unit_89765669,canonical_containment,containment,0.85,0.85,1.0,0.0
form_subgroup_general_data_51831167,form_element_state_36638272,canonical_containment,containment,0.85,0.85,1.0,0.0
form_subgroup_general_data_51831167,form_element_patient_age_50147920,canonical_containment,containment,0.85,0.85,1.0,0.0
form_subgroup_components_43357104,form_subgroup_radiotherapy_33927289,canonical_containment,containment,0.85,0.85,1.0,0.0
form_subgroup_radiotherapy_33927289,form_element_date_of_beginning_of_radiotherapy_4583246,canonical_containment,containment,0.85,0.85,1.0,0.0
form_group_outpatient_high_complexity_procedures_25691782,form_subgroup_patient_discharge_72827604,canonical_containment,containment,0.85,0.85,1.0,0.0
form_subgroup_patient_discharge_72827604,form_subgroup_components_84626205,canonical_containment,containment,0.85,0.85,1.0,0.0
form_subgroup_components_84626205,form_element_date_of_discharge_75169607,canonical_containment,containment,0.85,0.85,1.0,0.0
form_subgroup_components_84626205,form_element_reason_for_discharge_84474109,canonical_containment,containment,0.85,0.85,1.0,0.0
form_group_outpatient_high_complexity_procedures_25691782,form_subgroup_problem_diagnosis_9847508,canonical_containment,containment,0.85,0.85,1.0,0.0
form_subgroup_problem_diagnosis_9847508,form_subgroup_structure_31787288,canonical_containment,containment,0.85,0.85,1.0,0.0
form_subgroup_structure_31787288,form_element_problem_89111246,canonical_containment,containment,0.85,0.85,1.0,0.0
form_subgroup_structure_31787288,form_element_secondary_diagnosis_72353824,canonical_containment,containment,0.85,0.85,1.0,0.0
form_subgroup_structure_31787288,form_element_associated_causes_55596947,canonical_containment,containment,0.85,0.85,1.0,0.0
form_subgroup_structure_31787288,form_element_invaded_regional_linphonodes_13002440,canonical_containment,containment,0.85,0.85,1.0,0.0
form_subgroup_structure_31787288,form_subgroup_tumour_tnm_cancer_staging_86351837,canonical_containment,containment,0.85,0.85,1.0,0.0
form_subgroup_tumour_tnm_cancer_staging_86351837,form_subgroup_clinical_ctnm_47576812,canonical_containment,containment,0.85,0.85,1.0,0.0
form_subgroup_clinical_ctnm_47576812,form_element_clinical_staging_74130637,canonical_containment,containment,0.85,0.85,1.0,0.0
form_subgroup_tumour_tnm_cancer_staging_86351837,form_subgroup_pathological_ptnm_47865299,canonical_containment,containment,0.85,0.85,1.0,0.0
form_subgroup_pathological_ptnm_47865299,form_element_histopathological_grading_g_55410521,canonical_containment,containment,0.85,0.85,1.0,0.0
form_subgroup_pathological_ptnm_47865299,form_element_date_of_pathological_identification_40098900,canonical_containment,containment,0.85,0.85,1.0,0.0
form_subgroup_tumour_tnm_cancer_staging_86351837,form_element_topography_2808881,canonical_containment,containment,0.85,0.85,1.0,0.0
form_group_outpatient_high_complexity_procedures_25691782,form_subgroup_procedure_undertaken_35624483,canonical_containment,containment,0.85,0.85,1.0,0.0
form_subgroup_procedure_undertaken_35624483,form_subgroup_procedure_list_73847331,canonical_containment,containment,0.85,0.85,1.0,0.0
form_subgroup_procedure_list_73847331,form_element_procedure_98847896,canonical_containment,containment,0.85,0.85,1.0,0.0
form_subgroup_procedure_list_73847331,form_element_irradiated_area_1_25186015,canonical_containment,containment,0.85,0.85,1.0,0.0
form_subgroup_procedure_list_73847331,form_element_irradiated_area_2_77493845,canonical_containment,containment,0.85,0.85,1.0,0.0
form_subgroup_procedure_list_73847331,form_element_irradiated_area_3_49573363,canonical_containment,containment,0.85,0.85,1.0,0.0
form_subgroup_procedure_list_73847331,form_element_fields_insertions_1_99218049,canonical_containment,containment,0.85,0.85,1.0,0.0
form_subgroup_procedure_list_73847331,form_element_fields_insertions_2_66807519,canonical_containment,containment,0.85,0.85,1.0,0.0
form_group_outpatient_high_complexity_procedures_25691782,form_subgroup_bariatric_surgery_evaluation_34489401,canonical_containment,containment,0.85,0.85,1.0,0.0
form_subgroup_bariatric_surgery_evaluation_34489401,form_subgroup_components_70490028,canonical_containment,containment,0.85,0.85,1.0,0.0
form_subgroup_components_70490028,form_element_duration_of_follow_up_months_18334467,canonical_containment,containment,0.85,0.85,1.0,0.0
form_subgroup_components_70490028,form_element_baros_score_67569918,canonical_containment,containment,0.85,0.85,1.0,0.0
form_subgroup_components_70490028,form_element_baros_table_38748187,canonical_containment,containment,0.85,0.85,1.0,0.0
form_group_outpatient_high_complexity_procedures_25691782,form_subgroup_body_mass_index_7302643,canonical_containment,containment,0.85,0.85,1.0,0.0
form_subgroup_body_mass_index_7302643,form_subgroup_history_20528805,canonical_containment,containment,0.85,0.85,1.0,0.0
form_subgroup_history_20528805,form_subgroup_any_event_99819488,canonical_containment,containment,0.85,0.85,1.0,0.0
form_subgroup_any_event_99819488,form_subgroup_single_62764229,canonical_containment,containment,0.85,0.85,1.0,0.0
form_subgroup_single_62764229,form_element_body_mass_index_62428119,canonical_containment,containment,0.85,0.85,1.0,0.0
