rank,field_id,label,canonical_path,record_family,score,coverage,kind,dv_type,benchmark_relevance,selected_by_aqf_full,selected_by_aqf_topk_no_threshold,selected_by_frequency_only,selected_by_flattened_topk,selected_by_no_operator_awareness,selected_by_no_pruning,selected_by_random_topk_1,selected_by_random_topk_2,selected_by_random_topk_3,selected_by_random_topk_4,selected_by_random_topk_5,selected_by_random_topk_6,selected_by_random_topk_7,selected_by_random_topk_8,selected_by_random_topk_9,selected_by_random_topk_10,selected_by_random_topk_11,selected_by_random_topk_12,selected_by_random_topk_13,selected_by_random_topk_14,selected_by_random_topk_15,selected_by_random_topk_16,selected_by_random_topk_17,selected_by_random_topk_18,selected_by_random_topk_19,selected_by_random_topk_20,selected_by_random_topk_21,selected_by_random_topk_22,selected_by_random_topk_23,selected_by_random_topk_24,selected_by_random_topk_25,selected_by_random_topk_26,selected_by_random_topk_27,selected_by_random_topk_28,selected_by_random_topk_29,selected_by_random_topk_30
1,cf_7f3b6795a0e812,birth date,Demographic data / components / birth date,openEHR-EHR-COMPOSITION.demographic_data.v1,2.1489533728877293,1.0,temporal,DV_DATE,birth date,True,True,True,True,True,True,True,False,False,True,True,False,True,True,True,True,True,False,True,False,True,True,True,False,True,True,False,True,True,False,True,False,False,True,False,True
2,cf_16800b2d3f5ef6,patient age,HCPA / components / General data / patient age,openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1,1.8989533728877293,1.0,numeric,DV_COUNT,patient age,True,True,True,True,True,True,False,True,True,True,False,False,False,False,True,True,False,True,True,True,True,True,True,False,True,True,False,True,True,True,False,False,True,False,False,False
3,cf_5cd62eaa6e16a8,issue date,HCPA / components / General data / issue date,openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1,1.7322867062210625,1.0,temporal,DV_DATE,,True,True,True,True,True,True,True,True,False,False,True,True,True,True,True,True,True,True,True,True,False,True,True,False,True,False,True,True,True,True,True,True,True,True,True,False
4,cf_469c691048a0ce,date of discharge,Patient discharge / Components / date of discharge,openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1,1.7057715547059111,1.0,temporal,DV_DATE_TIME,date of discharge,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,False,True,True,True,True,False,True,False
5,cf_505d09ec39545c,duration of follow-up (months),Bariatric surgery evaluation / Components / duration of follow-up (months),openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1,1.662429519214117,0.7037037037037037,numeric,DV_COUNT,duration of follow up months,True,True,True,True,True,True,True,False,True,True,True,False,False,False,False,True,True,False,True,True,False,True,True,False,True,False,True,True,False,True,True,True,True,True,True,True
6,cf_0b6364bb149692,Procedure,Procedure undertaken / Procedure list / Procedure,openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1,1.5946055468007727,1.0,coded,DV_CODED_TEXT,procedure,True,True,True,True,True,True,True,True,True,False,False,False,True,False,True,True,True,False,True,True,True,False,True,True,False,True,False,False,True,False,True,True,True,True,True,False
7,cf_bd9db9ae67063d,Problem,Problem/Diagnosis / structure / Problem,openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1,1.5656200395543958,1.0,coded,DV_CODED_TEXT,problem,True,True,True,True,True,True,True,True,True,True,True,False,False,True,True,False,True,True,False,True,True,True,True,True,True,True,True,True,False,True,False,False,False,True,True,False
8,cf_b87e8363f020f7,healthcare unit,HCPA / components / General data / healthcare unit,openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1,1.537842261776618,1.0,coded,DV_CODED_TEXT,,True,True,True,True,True,True,True,False,True,False,False,True,True,True,False,True,True,True,True,False,False,False,False,True,False,True,True,False,True,True,True,True,True,False,True,False
9,cf_e7551706658b4a,gender,Demographic data / components / gender,openEHR-EHR-COMPOSITION.demographic_data.v1,1.5353170092513657,1.0,coded,DV_CODED_TEXT,gender,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,False,False,False,False,True,False,True,True,True,True,True,True,True,False,False,False,False,True,True,False,True
10,cf_8b431261fa7dca,State,HCPA / components / General data / State,openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1,1.5100644839988404,1.0,coded,DV_CODED_TEXT,state,True,True,True,True,True,True,False,False,False,True,True,True,True,True,True,True,False,True,True,True,False,True,True,True,True,True,True,True,True,True,False,True,True,True,False,True
11,cf_775d9002cb4e7b,reason for encounter,HCPA / components / General data / reason for encounter,openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1,1.496779459844251,1.0,coded,DV_CODED_TEXT,reason for encounter,True,True,True,True,True,True,False,True,True,True,False,True,True,False,True,True,False,True,True,True,True,False,True,False,False,True,True,True,False,True,True,True,True,True,True,True
12,cf_c75844f7868470,Body Mass Index,Body mass index / Single / Body Mass Index,openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1,1.4918695256693741,0.7037037037037037,numeric,DV_QUANTITY,body mass index,True,True,True,True,True,True,True,False,True,True,False,True,False,False,True,True,True,True,True,True,True,True,False,True,False,False,True,False,False,True,False,True,True,False,False,True
13,cf_49533263f29569,reason for discharge,Patient discharge / Components / reason for discharge,openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1,1.4822867062210625,1.0,coded,DV_CODED_TEXT,reason for discharge,True,True,True,True,True,True,False,True,False,True,True,True,True,False,True,False,True,True,False,True,False,True,True,True,False,True,True,True,False,True,True,False,False,True,False,True
14,cf_19e1b0f55ef007,race,Demographic data / components / race,openEHR-EHR-COMPOSITION.demographic_data.v1,1.4671351910695474,1.0,null,NULL_FLAVOUR,race,True,True,True,True,True,True,True,True,True,False,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,False,True,True,True,False,True,False,False,True,True,True
15,cf_4122372d727029,ethnic group,Demographic data / components / ethnic group,openEHR-EHR-COMPOSITION.demographic_data.v1,1.4671351910695474,1.0,null,NULL_FLAVOUR,ethnic group,True,True,True,True,True,True,False,True,False,True,True,True,True,True,True,False,False,False,True,False,False,True,False,True,True,True,True,True,False,True,True,True,False,False,True,False
16,cf_7ab0248b87b82e,educational level,Demographic data / components / educational level,openEHR-EHR-COMPOSITION.demographic_data.v1,1.4671351910695474,1.0,coded,DV_CODED_TEXT,educational level,True,True,True,True,True,True,True,True,False,True,False,True,True,True,False,True,True,False,False,True,True,True,True,True,True,False,True,False,True,False,True,True,True,True,True,True
17,cf_eee397355aecbe,nationality,Demographic data / components / nationality,openEHR-EHR-COMPOSITION.demographic_data.v1,1.4671351910695474,1.0,coded,DV_CODED_TEXT,nationality,True,True,True,True,True,True,False,True,True,True,False,True,True,True,False,False,True,True,True,False,True,True,False,True,True,True,False,False,True,True,True,True,True,True,True,True
18,cf_4e7e8ca2916a1e,Secondary Diagnosis,Problem/Diagnosis / structure / Secondary Diagnosis,openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1,1.4545089284432846,1.0,coded,DV_CODED_TEXT,problem,True,True,True,True,True,True,True,False,False,False,True,True,True,True,True,True,True,True,True,False,True,True,False,False,False,False,False,True,True,True,False,True,True,True,True,True
19,cf_0a229c157b8d2a,Associated causes,Problem/Diagnosis / structure / Associated causes,openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1,1.4545089284432846,1.0,coded,DV_CODED_TEXT,problem,True,True,True,True,True,True,True,True,True,False,True,False,True,False,False,False,True,True,False,True,False,False,True,True,False,False,True,True,True,False,True,True,False,False,False,True
20,cf_8f20b6e7578a41,Baros table,Bariatric surgery evaluation / Components / Baros table,openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1,1.1740893271702215,0.7037037037037037,text,DV_TEXT,,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,False
21,cf_ac2de786b38da7,Baros score,Bariatric surgery evaluation / Components / Baros score,openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1,1.1435680651674778,0.7037037037037037,text,DV_TEXT,,True,True,True,True,True,True,False,True,True,True,True,True,True,True,False,True,True,False,True,False,True,False,True,True,True,True,True,False,True,True,True,True,False,True,True,True
22,cf_72eaea6790449d,date of pathological identification,Problem/Diagnosis / structure / Tumour - TNM Cancer staging / Pathological (pTNM) / date of pathological identification,openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1,0.6777769804387215,0.2962962962962963,temporal,DV_DATE,date of pathological identification; problem,True,True,True,True,True,True,True,False,True,True,False,True,True,True,True,True,True,False,False,True,True,False,False,False,False,True,True,True,True,False,False,True,False,True,True,True
23,cf_8e35971b63e360,topography,Problem/Diagnosis / structure / Tumour - TNM Cancer staging / topography,openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1,0.6777769804387215,0.2962962962962963,coded,DV_CODED_TEXT,problem; tumour topography,True,True,True,True,True,True,False,True,True,False,True,True,True,True,False,False,True,True,False,True,True,False,True,True,False,False,False,False,True,True,False,False,False,True,True,True
24,cf_c4703128fab784,Histopathological grading (G),Problem/Diagnosis / structure / Tumour - TNM Cancer staging / Pathological (pTNM) / Histopathological grading (G),openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1,0.6709182698763072,0.2962962962962963,coded,DV_CODED_TEXT,histopathological grading; problem,True,True,False,True,True,True,True,True,True,True,True,True,False,True,True,True,False,False,True,True,True,False,False,True,True,False,True,True,True,True,True,False,False,True,True,True
25,cf_3c63f8bfbf5fd7,Clinical staging,Problem/Diagnosis / structure / Tumour - TNM Cancer staging / Clinical (cTNM) / Clinical staging,openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1,0.6434834276266501,0.2962962962962963,text,DV_TEXT,clinical staging; problem,False,False,False,False,False,True,True,True,False,True,True,False,False,True,True,False,True,True,False,False,True,False,False,True,True,True,True,False,True,True,True,True,True,True,True,True
26,cf_af0c9a7d79fe64,Invaded regional linphonodes,Problem/Diagnosis / structure / Invaded regional linphonodes,openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1,0.540602769190436,0.2962962962962963,boolean,DV_BOOLEAN,invaded regional linphonodes nodes; problem,False,False,True,False,False,True,True,False,False,True,True,True,True,True,True,True,False,False,True,False,False,True,False,True,True,False,False,True,True,True,True,True,True,False,True,True
27,cf_ed2fd195fdc918,date of beginning of radiotherapy,HCPA / components / radiotherapy / date of beginning of radiotherapy,openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1,0.41227669323719335,0.14814814814814814,temporal,DV_DATE,date of beginning of radiotherapy,False,False,False,False,False,True,True,True,True,True,True,True,False,True,True,True,False,True,True,False,True,True,True,False,True,True,False,True,True,True,True,True,True,True,True,True
28,cf_e5c01940113606,irradiated area 1,Procedure undertaken / Procedure list / irradiated area 1,openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1,0.41227669323719335,0.14814814814814814,coded,DV_CODED_TEXT,irradiated area 1; procedure,False,False,False,False,False,True,False,True,True,False,False,True,True,False,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True,False,False,True,True,False,True,True
29,cf_fc5be63ab59287,irradiated area 2,Procedure undertaken / Procedure list / irradiated area 2,openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1,0.41227669323719335,0.14814814814814814,coded,DV_CODED_TEXT,procedure,False,False,False,False,False,True,True,False,False,True,False,False,True,True,True,True,True,True,False,True,True,True,True,True,False,True,True,False,True,False,True,True,True,True,False,True
30,cf_c9b3a708f95249,fields/insertions 1,Procedure undertaken / Procedure list / fields/insertions 1,openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1,0.41227669323719335,0.14814814814814814,numeric,DV_COUNT,procedure,False,False,False,False,False,True,True,True,True,True,False,True,False,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,False,False,True,True,True,True,True,False
