rank,field_id,label,canonical_path,record_family,score,coverage,kind,dv_type,benchmark_relevance,selected_by_aqf_full,selected_by_aqf_topk_no_threshold,selected_by_frequency_only,selected_by_flattened_topk,selected_by_no_operator_awareness,selected_by_no_pruning,selected_by_random_topk_1,selected_by_random_topk_2,selected_by_random_topk_3,selected_by_random_topk_4,selected_by_random_topk_5,selected_by_random_topk_6,selected_by_random_topk_7,selected_by_random_topk_8,selected_by_random_topk_9,selected_by_random_topk_10,selected_by_random_topk_11,selected_by_random_topk_12,selected_by_random_topk_13,selected_by_random_topk_14,selected_by_random_topk_15,selected_by_random_topk_16,selected_by_random_topk_17,selected_by_random_topk_18,selected_by_random_topk_19,selected_by_random_topk_20,selected_by_random_topk_21,selected_by_random_topk_22,selected_by_random_topk_23,selected_by_random_topk_24,selected_by_random_topk_25,selected_by_random_topk_26,selected_by_random_topk_27,selected_by_random_topk_28,selected_by_random_topk_29,selected_by_random_topk_30
1,cf_7f3b6795a0e812,birth date,Demographic data / components / birth date,openEHR-EHR-COMPOSITION.demographic_data.v1,1.4595813491550917,1.0,temporal,DV_DATE,birth date,True,True,True,True,True,True,True,False,False,False,True,False,True,True,True,True,False,False,False,False,True,True,False,False,False,True,False,False,True,False,False,False,False,True,False,True
2,cf_16800b2d3f5ef6,patient age,HCPA / components / General data / patient age,openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1,1.1595813491550917,1.0,numeric,DV_COUNT,patient age,True,True,True,True,True,True,False,True,True,True,False,False,False,False,False,True,False,False,True,True,True,True,True,False,False,True,False,True,False,True,False,False,True,False,False,False
3,cf_505d09ec39545c,duration of follow-up (months),Bariatric surgery evaluation / Components / duration of follow-up (months),openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1,1.087194029907869,0.7037037037037037,numeric,DV_COUNT,duration of follow up months,True,True,True,True,True,True,True,False,True,False,True,False,False,False,False,False,True,False,True,True,False,True,True,False,True,False,True,True,False,True,True,True,True,False,True,True
4,cf_5cd62eaa6e16a8,issue date,HCPA / components / General data / issue date,openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1,0.9595813491550916,1.0,temporal,DV_DATE,,True,True,True,True,True,True,False,False,False,False,False,False,True,True,True,True,False,False,True,True,False,False,True,False,True,False,False,True,True,True,True,True,True,True,True,False
5,cf_469c691048a0ce,date of discharge,Patient discharge / Components / date of discharge,openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1,0.92776316733691,1.0,temporal,DV_DATE_TIME,date of discharge,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,False,True,False,True,False,True,True,True,True,False,False,True,True,False,True,False,False,False
6,cf_c75844f7868470,Body Mass Index,Body mass index / Single / Body Mass Index,openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1,0.8947870259540243,0.7037037037037037,numeric,DV_QUANTITY,body mass index,True,True,True,True,True,True,False,False,False,True,False,True,False,False,False,True,False,True,True,True,True,True,False,True,False,False,True,False,False,True,False,True,True,False,False,True
7,cf_0b6364bb149692,Procedure,Procedure undertaken / Procedure list / Procedure,openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1,0.7943639578507438,1.0,coded,DV_CODED_TEXT,procedure,True,True,True,True,True,True,True,False,False,False,False,False,False,False,True,False,True,False,True,True,True,False,True,True,False,True,False,False,True,False,False,True,True,False,True,False
8,cf_bd9db9ae67063d,Problem,Problem/Diagnosis / structure / Problem,openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1,0.7595813491550917,1.0,coded,DV_CODED_TEXT,problem,True,True,True,True,True,True,True,True,True,True,True,False,False,False,True,False,True,False,False,True,False,True,False,True,True,True,False,True,False,False,False,False,False,True,True,False
9,cf_b87e8363f020f7,healthcare unit,HCPA / components / General data / healthcare unit,openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1,0.7262480158217584,1.0,coded,DV_CODED_TEXT,,True,True,True,True,True,True,False,False,True,False,False,True,True,True,False,True,True,True,True,False,False,False,False,True,False,True,True,False,False,False,True,True,True,False,True,False
10,cf_e7551706658b4a,gender,Demographic data / components / gender,openEHR-EHR-COMPOSITION.demographic_data.v1,0.7232177127914554,1.0,coded,DV_CODED_TEXT,gender,True,True,True,True,True,True,True,True,False,False,False,True,True,True,True,False,False,False,False,True,False,True,True,True,False,True,True,True,False,False,False,False,True,True,False,True
11,cf_8b431261fa7dca,State,HCPA / components / General data / State,openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1,0.692914682488425,1.0,coded,DV_CODED_TEXT,state,True,True,True,True,True,True,False,False,False,False,True,False,False,True,True,True,False,True,True,True,False,True,True,True,True,True,False,True,True,True,False,True,False,True,False,True
12,cf_775d9002cb4e7b,reason for encounter,HCPA / components / General data / reason for encounter,openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1,0.6769726535029179,1.0,coded,DV_CODED_TEXT,reason for encounter,True,True,True,True,True,True,False,True,True,False,False,False,True,False,True,True,False,False,False,True,True,False,True,False,False,True,True,False,False,True,True,False,False,True,True,False
