source,target,edge_type,source_schema_edge_type,weight,structural_connectivity,containment_connectivity,cooccurrence_connectivity
form_group_outpatient_high_complexity_procedures_39576749,form_subgroup_hcpa_3579287,canonical_containment,containment,0.5,0.5,1.0,0.0
form_subgroup_hcpa_3579287,form_subgroup_components_14246306,canonical_containment,containment,0.5,0.5,1.0,0.0
form_subgroup_components_14246306,form_subgroup_general_data_28393224,canonical_containment,containment,0.5,0.5,1.0,0.0
form_subgroup_general_data_28393224,form_element_issue_date_94796741,canonical_containment,containment,0.5,0.5,1.0,0.0
form_subgroup_general_data_28393224,form_element_reason_for_encounter_98358501,canonical_containment,containment,0.5,0.5,1.0,0.0
form_subgroup_general_data_28393224,form_element_healthcare_unit_16365867,canonical_containment,containment,0.5,0.5,1.0,0.0
form_subgroup_general_data_28393224,form_element_state_73008250,canonical_containment,containment,0.5,0.5,1.0,0.0
form_subgroup_general_data_28393224,form_element_patient_age_19044381,canonical_containment,containment,0.5,0.5,1.0,0.0
form_subgroup_components_14246306,form_subgroup_radiotherapy_39766497,canonical_containment,containment,0.5,0.5,1.0,0.0
form_subgroup_radiotherapy_39766497,form_element_date_of_beginning_of_radiotherapy_21722506,canonical_containment,containment,0.5,0.5,1.0,0.0
form_group_outpatient_high_complexity_procedures_39576749,form_subgroup_patient_discharge_60314687,canonical_containment,containment,0.5,0.5,1.0,0.0
form_subgroup_patient_discharge_60314687,form_subgroup_components_2468466,canonical_containment,containment,0.5,0.5,1.0,0.0
form_subgroup_components_2468466,form_element_date_of_discharge_4051386,canonical_containment,containment,0.5,0.5,1.0,0.0
form_subgroup_components_2468466,form_element_reason_for_discharge_54179892,canonical_containment,containment,0.5,0.5,1.0,0.0
form_group_outpatient_high_complexity_procedures_39576749,form_subgroup_problem_diagnosis_7195573,canonical_containment,containment,0.5,0.5,1.0,0.0
form_subgroup_problem_diagnosis_7195573,form_subgroup_structure_34693687,canonical_containment,containment,0.5,0.5,1.0,0.0
form_subgroup_structure_34693687,form_element_problem_55570750,canonical_containment,containment,0.5,0.5,1.0,0.0
form_subgroup_structure_34693687,form_element_secondary_diagnosis_6722019,canonical_containment,containment,0.5,0.5,1.0,0.0
form_subgroup_structure_34693687,form_element_associated_causes_93768702,canonical_containment,containment,0.5,0.5,1.0,0.0
form_subgroup_structure_34693687,form_element_invaded_regional_linphonodes_99809474,canonical_containment,containment,0.5,0.5,1.0,0.0
form_subgroup_structure_34693687,form_subgroup_tumour_tnm_cancer_staging_23247617,canonical_containment,containment,0.5,0.5,1.0,0.0
form_subgroup_tumour_tnm_cancer_staging_23247617,form_subgroup_clinical_ctnm_54711812,canonical_containment,containment,0.5,0.5,1.0,0.0
form_subgroup_clinical_ctnm_54711812,form_element_clinical_staging_75288499,canonical_containment,containment,0.5,0.5,1.0,0.0
form_subgroup_tumour_tnm_cancer_staging_23247617,form_subgroup_pathological_ptnm_92199052,canonical_containment,containment,0.5,0.5,1.0,0.0
form_subgroup_pathological_ptnm_92199052,form_element_histopathological_grading_g_8070392,canonical_containment,containment,0.5,0.5,1.0,0.0
form_subgroup_pathological_ptnm_92199052,form_element_date_of_pathological_identification_86800399,canonical_containment,containment,0.5,0.5,1.0,0.0
form_subgroup_tumour_tnm_cancer_staging_23247617,form_element_topography_986704,canonical_containment,containment,0.5,0.5,1.0,0.0
form_group_outpatient_high_complexity_procedures_39576749,form_subgroup_procedure_undertaken_59683567,canonical_containment,containment,0.5,0.5,1.0,0.0
form_subgroup_procedure_undertaken_59683567,form_subgroup_procedure_list_61936784,canonical_containment,containment,0.5,0.5,1.0,0.0
form_subgroup_procedure_list_61936784,form_element_procedure_66906139,canonical_containment,containment,0.5,0.5,1.0,0.0
form_subgroup_procedure_list_61936784,form_element_irradiated_area_1_39357633,canonical_containment,containment,0.5,0.5,1.0,0.0
form_subgroup_procedure_list_61936784,form_element_irradiated_area_2_55363705,canonical_containment,containment,0.5,0.5,1.0,0.0
form_subgroup_procedure_list_61936784,form_element_irradiated_area_3_45777372,canonical_containment,containment,0.5,0.5,1.0,0.0
form_subgroup_procedure_list_61936784,form_element_fields_insertions_1_27775944,canonical_containment,containment,0.5,0.5,1.0,0.0
form_subgroup_procedure_list_61936784,form_element_fields_insertions_2_57440372,canonical_containment,containment,0.5,0.5,1.0,0.0
