form_id,form_group,field_id,canonical_id,name,role,datatype,operator,score,queriability,ui_group,path
aqf_outpatient_high_complexity_procedures_59895,Outpatient high complexity procedures,filter_patient_age_33947,form_element_patient_age_7802600,patient age,filter,DV_COUNT,range,0.7633252539242844,0.7633252539242844,General Data,/composition|outpatient_high_complexity_procedures|openehr-ehr-composition.outpatient_high_complexity_procedures.v1|openehr-ehr-composition.outpatient_high_complexity_procedures.v1/admin_entry|hcpa|openehr-ehr-admin_entry.high_complexity_procedures_sus.v1|openehr-ehr-admin_entry.high_complexity_procedures_sus.v1/item_tree|components|at0001|openehr-ehr-admin_entry.high_complexity_procedures_sus.v1/cluster|general_data|at0023|openehr-ehr-admin_entry.high_complexity_procedures_sus.v1/element|patient_age|at0012|openehr-ehr-admin_entry.high_complexity_procedures_sus.v1
aqf_outpatient_high_complexity_procedures_59895,Outpatient high complexity procedures,filter_issue_date_9675,form_element_issue_date_52496835,issue date,filter,DV_DATE,date_range,0.6352435364727609,0.6352435364727609,General Data,/composition|outpatient_high_complexity_procedures|openehr-ehr-composition.outpatient_high_complexity_procedures.v1|openehr-ehr-composition.outpatient_high_complexity_procedures.v1/admin_entry|hcpa|openehr-ehr-admin_entry.high_complexity_procedures_sus.v1|openehr-ehr-admin_entry.high_complexity_procedures_sus.v1/item_tree|components|at0001|openehr-ehr-admin_entry.high_complexity_procedures_sus.v1/cluster|general_data|at0023|openehr-ehr-admin_entry.high_complexity_procedures_sus.v1/element|issue_date|at0009|openehr-ehr-admin_entry.high_complexity_procedures_sus.v1
aqf_outpatient_high_complexity_procedures_59895,Outpatient high complexity procedures,filter_state_28215,form_element_state_3808286,State,filter,DV_CODED_TEXT,equals,0.4644679132040627,0.4644679132040627,General Data,/composition|outpatient_high_complexity_procedures|openehr-ehr-composition.outpatient_high_complexity_procedures.v1|openehr-ehr-composition.outpatient_high_complexity_procedures.v1/admin_entry|hcpa|openehr-ehr-admin_entry.high_complexity_procedures_sus.v1|openehr-ehr-admin_entry.high_complexity_procedures_sus.v1/item_tree|components|at0001|openehr-ehr-admin_entry.high_complexity_procedures_sus.v1/cluster|general_data|at0023|openehr-ehr-admin_entry.high_complexity_procedures_sus.v1/element|state|at0028|openehr-ehr-admin_entry.high_complexity_procedures_sus.v1
aqf_outpatient_high_complexity_procedures_59895,Outpatient high complexity procedures,filter_problem_36961,form_element_problem_83775262,Problem,filter,DV_CODED_TEXT,equals,0.4626442751615881,0.4626442751615881,Structure,/composition|outpatient_high_complexity_procedures|openehr-ehr-composition.outpatient_high_complexity_procedures.v1|openehr-ehr-composition.outpatient_high_complexity_procedures.v1/evaluation|problem_diagnosis|openehr-ehr-evaluation.problem_diagnosis-sus.v1|openehr-ehr-evaluation.problem_diagnosis-sus.v1/item_tree|structure|at0001|openehr-ehr-evaluation.problem_diagnosis-sus.v1/element|problem|at0002.1|openehr-ehr-evaluation.problem_diagnosis-sus.v1
aqf_outpatient_high_complexity_procedures_59895,Outpatient high complexity procedures,filter_procedure_44663,form_element_procedure_13341967,Procedure,filter,DV_CODED_TEXT,equals,0.4290714450600184,0.4290714450600184,Procedure List,/composition|outpatient_high_complexity_procedures|openehr-ehr-composition.outpatient_high_complexity_procedures.v1|openehr-ehr-composition.outpatient_high_complexity_procedures.v1/action|procedure_undertaken|openehr-ehr-action.procedure-sus.v1|openehr-ehr-action.procedure-sus.v1/item_tree|procedure_list|at0001|openehr-ehr-action.procedure-sus.v1/element|procedure|at0002|openehr-ehr-action.procedure-sus.v1
aqf_outpatient_high_complexity_procedures_59895,Outpatient high complexity procedures,filter_secondary_diagnosis_76131,form_element_secondary_diagnosis_26246134,Secondary Diagnosis,filter,DV_CODED_TEXT,equals,0.376598568790397,0.376598568790397,Structure,/composition|outpatient_high_complexity_procedures|openehr-ehr-composition.outpatient_high_complexity_procedures.v1|openehr-ehr-composition.outpatient_high_complexity_procedures.v1/evaluation|problem_diagnosis|openehr-ehr-evaluation.problem_diagnosis-sus.v1|openehr-ehr-evaluation.problem_diagnosis-sus.v1/item_tree|structure|at0001|openehr-ehr-evaluation.problem_diagnosis-sus.v1/element|secondary_diagnosis|at0.1|openehr-ehr-evaluation.problem_diagnosis-sus.v1
aqf_outpatient_high_complexity_procedures_59895,Outpatient high complexity procedures,filter_topography_99523,form_element_topography_80485845,topography,filter,DV_CODED_TEXT,equals,0.2866920590951062,0.2866920590951062,Tumour - Tnm Cancer Staging,/composition|outpatient_high_complexity_procedures|openehr-ehr-composition.outpatient_high_complexity_procedures.v1|openehr-ehr-composition.outpatient_high_complexity_procedures.v1/evaluation|problem_diagnosis|openehr-ehr-evaluation.problem_diagnosis-sus.v1|openehr-ehr-evaluation.problem_diagnosis-sus.v1/item_tree|structure|at0001|openehr-ehr-evaluation.problem_diagnosis-sus.v1/cluster|tumour_-_tnm_cancer_staging|openehr-ehr-cluster.tnm_staging-sus.v1|openehr-ehr-evaluation.problem_diagnosis-sus.v1/element|topography|at0.43|openehr-ehr-evaluation.problem_diagnosis-sus.v1
aqf_outpatient_high_complexity_procedures_59895,Outpatient high complexity procedures,filter_healthcare_unit_22352,form_element_healthcare_unit_5782744,healthcare unit,filter,DV_CODED_TEXT,equals,0.48581486611265,0.48581486611265,General Data,/composition|outpatient_high_complexity_procedures|openehr-ehr-composition.outpatient_high_complexity_procedures.v1|openehr-ehr-composition.outpatient_high_complexity_procedures.v1/admin_entry|hcpa|openehr-ehr-admin_entry.high_complexity_procedures_sus.v1|openehr-ehr-admin_entry.high_complexity_procedures_sus.v1/item_tree|components|at0001|openehr-ehr-admin_entry.high_complexity_procedures_sus.v1/cluster|general_data|at0023|openehr-ehr-admin_entry.high_complexity_procedures_sus.v1/element|healthcare_unit|at0011|openehr-ehr-admin_entry.high_complexity_procedures_sus.v1
aqf_outpatient_high_complexity_procedures_59895,Outpatient high complexity procedures,filter_body_mass_index_81190,form_element_body_mass_index_82681640,Body Mass Index,filter,DV_QUANTITY,range,0.46052631578947373,0.46052631578947373,Single,/composition|outpatient_high_complexity_procedures|openehr-ehr-composition.outpatient_high_complexity_procedures.v1|openehr-ehr-composition.outpatient_high_complexity_procedures.v1/observation|body_mass_index|openehr-ehr-observation.body_mass_index.v1|openehr-ehr-observation.body_mass_index.v1/none|history|at0001|openehr-ehr-observation.body_mass_index.v1/point_event|any_event|at0002|openehr-ehr-observation.body_mass_index.v1/item_tree|single|at0003|openehr-ehr-observation.body_mass_index.v1/element|body_mass_index|at0004|openehr-ehr-observation.body_mass_index.v1
aqf_outpatient_high_complexity_procedures_59895,Outpatient high complexity procedures,filter_reason_for_encounter_93539,form_element_reason_for_encounter_80591129,reason for encounter,filter,DV_CODED_TEXT,equals,0.4217740073868882,0.4217740073868882,General Data,/composition|outpatient_high_complexity_procedures|openehr-ehr-composition.outpatient_high_complexity_procedures.v1|openehr-ehr-composition.outpatient_high_complexity_procedures.v1/admin_entry|hcpa|openehr-ehr-admin_entry.high_complexity_procedures_sus.v1|openehr-ehr-admin_entry.high_complexity_procedures_sus.v1/item_tree|components|at0001|openehr-ehr-admin_entry.high_complexity_procedures_sus.v1/cluster|general_data|at0023|openehr-ehr-admin_entry.high_complexity_procedures_sus.v1/element|reason_for_encounter|at0010|openehr-ehr-admin_entry.high_complexity_procedures_sus.v1
aqf_outpatient_high_complexity_procedures_59895,Outpatient high complexity procedures,filter_reason_for_discharge_72850,form_element_reason_for_discharge_97803460,reason for discharge,filter,DV_CODED_TEXT,equals,0.37946964450600174,0.37946964450600174,Components,/composition|outpatient_high_complexity_procedures|openehr-ehr-composition.outpatient_high_complexity_procedures.v1|openehr-ehr-composition.outpatient_high_complexity_procedures.v1/admin_entry|patient_discharge|openehr-ehr-admin_entry.patient_discharge.v1|openehr-ehr-admin_entry.patient_discharge.v1/item_tree|components|at0001|openehr-ehr-admin_entry.patient_discharge.v1/element|reason_for_discharge|at0003|openehr-ehr-admin_entry.patient_discharge.v1
aqf_outpatient_high_complexity_procedures_59895,Outpatient high complexity procedures,filter_associated_causes_75240,form_element_associated_causes_4352334,Associated causes,filter,DV_CODED_TEXT,equals,0.376598568790397,0.376598568790397,Structure,/composition|outpatient_high_complexity_procedures|openehr-ehr-composition.outpatient_high_complexity_procedures.v1|openehr-ehr-composition.outpatient_high_complexity_procedures.v1/evaluation|problem_diagnosis|openehr-ehr-evaluation.problem_diagnosis-sus.v1|openehr-ehr-evaluation.problem_diagnosis-sus.v1/item_tree|structure|at0001|openehr-ehr-evaluation.problem_diagnosis-sus.v1/element|associated_causes|at0.2|openehr-ehr-evaluation.problem_diagnosis-sus.v1
